escenario,alpha_fosfatos,alpha_automotor,elasticidad_trabajo_fosfatos,share_trabajo_fosfatos,share_trabajo_automotor,L_fosfatos_equilibrio,L_fosfatos_observado,L_capacidad_leontief,brecha_vpmgl_observada,eq_sobre_observado_veces,eq_sobre_capacidad_veces
A - HCP,0.8,0.55,0.19999999999999996,0.16,0.43,144151.57578789396,17000,19627.272727272728,8.60364228244312,8.479504458111409,7.344452680253976
B - OCDE mezclado,0.7796199239657566,0.5594261151119299,0.22038007603424337,0.21578335387236391,0.43811756824652487,179081.5407703852,17000,19627.272727272728,12.401027086313126,10.534208280610894,9.124117408403137
