country,especificacion,pendiente_anual,p.value,r.squared,nobs,tasa_anual_pct
Germany,niveles (K/L por año),6583.261438840873,1.333326683514456e-60,0.9814334071226903,70,NA
Germany,log (tasa de crecimiento anual),0.03162026408197667,9.095832865029691e-36,0.9003202478185445,70,3.1620264081976672
Spain,niveles (K/L por año),8546.291626628406,1.5845439622215497e-54,0.9719877641492106,70,NA
Spain,log (tasa de crecimiento anual),0.03549469147996391,4.216990075296135e-36,0.9025451635611174,70,3.549469147996391
France,niveles (K/L por año),7612.952235154478,7.503367136010289e-67,0.9878393039866953,70,NA
France,log (tasa de crecimiento anual),0.02520543939667304,4.740331574436532e-40,0.9253885787342766,70,2.520543939667304
Morocco,niveles (K/L por año),1083.8245838383154,2.71412265315325e-25,0.7977251150951535,70,NA
Morocco,log (tasa de crecimiento anual),0.017948896793078786,1.0412601308854427e-36,0.9064671342566616,70,1.7948896793078786
