year,ebitda_mmad,dividendos_mmad,masa_salarial_mmad,masa_salarial_sobre_ebitda,dividendos_sobre_ebitda
2021,36269,5126,10550.004024,0.29088213140698665,0.14133281866056413
2022,50076,8163,11615.00208,0.2319474814282291,0.16301222142343638
2023,29396,7251,11517.993,0.39182177847326166,0.24666621309021636
2024,38800,NA,NA,NA,NA
