pais_o_ventana,pendiente_anual,p.value,r.squared,significativo
Germany,-0.0014585116781298494,0.0017696803545045122,0.31818254750996083,TRUE
Spain,-0.004799406943114047,1.0002309772567899e-12,0.9050088957373001,TRUE
Morocco,-1.704187362224953e-4,0.6031052502874277,0.01450088356542611,FALSE
"Francia - completa (original, 1950-2019)",-0.0011674889409285015,1.9127672112530665e-17,0.6622476724916442,TRUE
Francia - pareja con Alemania (desde 1992),1.796630966121673e-4,0.08539867209528744,0.10952167031046503,FALSE
Francia - pareja con España (desde 1996),2.7134408121524603e-4,0.05346884224897655,0.15915373070952246,FALSE
