anio_ref,es_base,L_fosfatos_obs,Q_fosfatos_obs,vpmgl_f_mad_mes,vpmgl_a_mad_mes,brecha_obs,L_equilibrio,eq_sobre_obs,techo_leontief
2021,FALSE,17961,38100,46935.02588942708,4712.79375,9.959066400779173,142162.50125062533,7.915066045911994,17961
2022,FALSE,17688,38000,64774.988692899125,5121.455113636363,12.647770458913042,175967.979989995,9.948438488805687,17734.547368421052
2023,TRUE,17000,33000,53692.352941176454,6240.653804347825,8.60364228244312,144151.57578789396,8.479504458111409,19627.272727272728
2024,FALSE,20000,35300,48499.99999999999,6704.366596638655,7.234091289744844,143535.26763381693,7.176763381690846,21586.40226628895
