country,pendiente_anual,p.value,r.squared,nobs
Germany,-0.0014585116781298494,0.0017696803545045122,0.31818254750996083,28
Spain,-0.004799406943114047,1.0002309772567899e-12,0.9050088957373001,24
France,-0.0011674889409285015,1.9127672112530665e-17,0.6622476724916442,69
Morocco,-1.704187362224953e-4,0.6031052502874277,0.01450088356542611,21
