ventana,ventana_desde,n_anios,pendiente_anual,p.value,r.squared
"completa (original, 1950-2019)",1950,69,-0.0011674889409285015,1.9127672112530665e-17,0.6622476724916442
pareja con Alemania (desde 1992),1992,28,1.796630966121673e-4,0.08539867209528744,0.10952167031046503
pareja con España (desde 1996),1996,24,2.7134408121524603e-4,0.05346884224897655,0.15915373070952246
