tramo,pendiente_anual,p.value
"completo (1999-2019, n=21)",-1.704187362224953e-4,0.6031052502874277
"pre-automotor (1999-2011, n=13)",-6.89721041983298e-4,0.36420652735479375
"post-automotor (2012-2019, n=8)",-0.0023158987363179166,0.024558336527297168
