concepto,valor_bruto_mmad,va_sobre_output,va_mmad,empleo,share_trabajo,vpmgl_mmad_anio,vpmgl_mad_mes
Fosfatos (OCP: B08+C20),91277,0.5328152701605554,48633.779414445016,17000,0.2393569051839413,0.684754760472943,57062.89670607859
Automotor (complejo: C29+C27),141763,0.1862677813825805,26405.879492138756,230000,0.43811756824652487,0.050299477002202664,4191.623083516889
