sector,pendiente_estimada,alpha_esperado,r.squared,diferencia_abs,ok
Fosfatos,-0.7796199239657551,-0.7796199239657566,1,1.5543122344752192e-15,TRUE
Automotor,-0.5594261151119287,-0.5594261151119299,1,1.1102230246251565e-15,TRUE
