sector,pendiente_estimada,alpha_esperado,r.squared,diferencia_abs,ok
Fosfatos,-0.7999999999999994,-0.8,1,6.661338147750939e-16,TRUE
Automotor,-0.5499999999999998,-0.55,1,2.220446049250313e-16,TRUE
