concepto,valor_bruto_mmad,va_sobre_output,va_mmad,empleo,share_trabajo,vpmgl_mmad_anio,vpmgl_mad_mes
"Fosfatos (OCP, alpha mezclado B08+C20)",91277,0.5328152701605554,48633.779414445016,17000,0.2393569051839413,0.684754760472943,57062.89670607859
Automotor (C29),141763,0.148768222038322,21089.82946081864,230000,0.4282413350449294,0.0392675509746559,3272.295914554659
