supuesto,w_mad_mes,vpmgl_fosfatos_mmad,markdown_m,eps_implicita,dentro_rango_literatura,phi_implicita
Cota superior (D1 de B08 / empleo OCP),31800.382309819423,0.684754760472943,0.5572865056889393,1.2587971969460163,TRUE,0.5147506863186715
CNSS Industrie (opción externa),5002,0.684754760472943,0.08765766003370742,0.09607978956336284,FALSE,0
CNSS Industrie x 2 (prima minera moderada),10004,0.684754760472943,0.17531532006741485,0.21258466942995258,FALSE,0.09607978956336283
CNSS Industrie x 3 (prima minera alta),15006,0.684754760472943,0.2629729801011223,0.3568023600236569,FALSE,0.19215957912672568
