term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),1.875486331981484,1.2564254114016093,1.492716013988669,0.15383769653806206,-0.7753395733792643,4.526312237342232
year,-6.897210419832343e-4,6.266449993094514e-4,-1.100656739849981,0.28638748281519527,-0.002011826423297663,6.323843393311942e-4
post_auto,3.2865642629046237,2.913939866128851,1.127876488155125,0.27503941319242375,-2.861311459523555,9.434439985332801
year:post_auto,-0.0016261776943347003,0.0014471746361505947,-1.1236914009633585,0.2767621287327338,-0.004679449285530487,0.0014270938968610862
