TIME_PERIOD,B1G_total,D1_total,B2A3G_total,P1_total,share_trabajo,alpha_capital,va_sobre_output
2014,12099,6134,5932,64381,0.5069840482684519,0.4902884535912059,0.18792811543778443
2015,13163,6350,6780,68102,0.48241282382435613,0.515080148902226,0.19328360400575606
2016,13860,6676,7143,73015,0.4816738816738817,0.5153679653679654,0.18982400876532218
2017,14735,7015,7678,75803,0.4760773668137089,0.5210722768917543,0.19438544648628683
2018,17671,7728,9903,86346,0.4373266934525494,0.5604097108256465,0.204653371320038
2019,19794,8744,11008,95868,0.44175002526017987,0.5561281196322118,0.20647139817248716
2020,17977,7847,10086,83160,0.43650219725204426,0.5610502308505312,0.21617364117364118
2021,17913,7848,10021,96168,0.43811756824652487,0.5594261151119299,0.1862677813825805
