ACTIVITY,TIME_PERIOD,alpha_capital,share_trabajo,residual_capital_mas_trabajo
B08,2014,0.706680957484816,0.2830177444325354,0.01030129808264868
B08,2015,0.7142101364934927,0.2773251507776955,0.008464712728811774
B08,2016,0.6145064736182654,0.37268550744814144,0.01280801893359318
B08,2017,0.5771332798950667,0.409312832471034,0.013553887633899309
B08,2018,0.5770501431612951,0.40892739152778795,0.014022465310916887
B08,2019,0.5849056603773585,0.40092611790724997,0.01416822171539156
B08,2020,0.5439625928302925,0.438158980471257,0.017878426698450522
B08,2021,0.5392495921696574,0.4472430668841762,0.013507340946166346
C20,2014,0.7723248767155844,0.22042659378527718,0.007248529499138456
C20,2015,0.8192185545183331,0.17534404773361562,0.005437397748051298
C20,2016,0.7833245134356441,0.2090903745516552,0.007585112012700623
C20,2017,0.7783054381189553,0.2139340939364105,0.007760467944634253
C20,2018,0.8239312472454826,0.17007492287351256,0.005993829881004831
C20,2019,0.8095059000517136,0.18367730713177566,0.006816792816510708
C20,2020,0.8205709657825471,0.17380036444624417,0.005628669771208794
C20,2021,0.8226744779440283,0.17432484843536303,0.0030006736206087403
C27,2014,0.4948377581120944,0.5054080629301868,-2.458210422813245e-4
C27,2015,0.50035825173155,0.4991640792930499,4.776689754000252e-4
C27,2016,0.4701134930643127,0.528625472887768,0.0012610340479193294
C27,2017,0.4700460829493088,0.5288018433179723,0.0011520737327188613
C27,2018,0.49015708888447007,0.5094452177371247,3.9769337840522834e-4
C27,2019,0.5159985935302391,0.48364978902953587,3.5161744022493835e-4
C27,2020,0.5424115633320654,0.4564473183720046,0.0011411182959299992
C27,2021,0.5428709055876686,0.45664739884393063,4.816955684008306e-4
C29,2014,0.4879840617606774,0.5077823434192504,0.0042335948200722395
C29,2015,0.5219474153297683,0.47459893048128343,0.003453654188948274
C29,2016,0.5335017685699849,0.4628600303183426,0.0036382011116724566
C29,2017,0.5423761423761424,0.45406445406445406,0.00355940355940354
C29,2018,0.5883562727416548,0.40863787375415284,0.0030058535041923573
C29,2019,0.5723096554657593,0.42485467177087766,0.0028356727633630507
C29,2020,0.5687554052991587,0.4282569384385565,0.00298765626228481
C29,2021,0.5682498930252461,0.4282413350449294,0.0035087719298245723
