TIME_PERIOD,fosfatos,automotor,brecha_alpha
2014,0.7566956906134799,0.4902884535912059,0.266407237022274
2015,0.7953683044039437,0.515080148902226,0.2802881555017177
2016,0.7474269519317098,0.5153679653679654,0.23205898656374446
2017,0.7357494830857583,0.5210722768917543,0.214677206194004
2018,0.77683265748858,0.5604097108256465,0.2164229466629335
2019,0.7634839528946243,0.5561281196322118,0.20735583326241258
2020,0.7754974460112734,0.5610502308505312,0.21444721516074217
2021,0.7796199239657566,0.5594261151119299,0.22019380885382678
