concepto,valor_bruto_mmad,va_sobre_output,va_mmad,empleo,share_trabajo,vpmgl_mmad_anio,vpmgl_mad_mes
Fosfatos (OCP: B08+C20),91277,0.5301081031518459,48386.67733139104,17000,0.2137151067681814,0.608291994825634,50690.999568802836
Automotor (complejo: C29+C27),141763,0.1862677813825805,26405.879492138756,230000,0.43811756824652487,0.050299477002202664,4191.623083516889
