TIME_PERIOD,alpha_capital,share_trabajo,va_sobre_output,peso_B08,peso_C20,fuente_peso,B1G_total
2014,0.7635882850081955,0.22875689054556644,0.3498831010856661,0.1330906473861759,0.8669093526138241,promedio 2021-2023 (extrapolado hacia atrás),33625
2015,0.8052429161824088,0.18891677875890853,0.3900306345372034,0.1330906473861759,0.8669093526138241,promedio 2021-2023 (extrapolado hacia atrás),39684
2016,0.760856411225884,0.230863356698076,0.37899290834580185,0.1330906473861759,0.8669093526138241,promedio 2021-2023 (extrapolado hacia atrás),31373
2017,0.7515313053448637,0.23993717673347792,0.35227233894954985,0.1330906473861759,0.8669093526138241,promedio 2021-2023 (extrapolado hacia atrás),30990
2018,0.7910736812755041,0.20186395255649636,0.3753691234554163,0.1330906473861759,0.8669093526138241,promedio 2021-2023 (extrapolado hacia atrás),36311
2019,0.7796137087503634,0.21259109200176035,0.3649106922460801,0.1330906473861759,0.8669093526138241,promedio 2021-2023 (extrapolado hacia atrás),35740
2020,0.7837569783538947,0.2089840237951266,0.40488765858931286,0.1330906473861759,0.8669093526138241,promedio 2021-2023 (extrapolado hacia atrás),35602
2021,0.7817677933992737,0.2137151067681814,0.5301081031518459,0.14432989690721648,0.8556701030927835,real (Ronda 3),64314
