STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,TRANSACTION,Transaction,ACTIVITY,Economic activity,PRODUCT,Product,UNIT_MEASURE,Unit of measure,VALUATION,Valuation,PRICE_BASE,Price base,TABLE_IDENTIFIER,Table identifier,TIME_PERIOD,Time period,OBS_VALUE,Observation value,COUNTERPART_AREA,Counterpart area,SECTOR,Institutional sector,ACCOUNTING_ENTRY,Accounting entry,CONF_STATUS,Confidentiality status,DECIMALS,Decimals,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,CURRENCY,Currency
DATAFLOW,OECD.SDD.NAD:DSD_NASU@DF_USEVA_T1600(1.0),"SUT Use, Value added and its components by activity",I,A,Annual,MAR,Morocco,B1G,"Value added, gross",C27,Manufacture of electrical equipment,_T,Total,XDC,National currency,B,Basic prices,V,Current prices,T1600,Table 1600 - Use Table at purchasers' prices,2017,NA,4340,NA,D,Domestic (home or reference area),S1,Total economy,B,Balance (revenue minus expenditure),FALSE,Free (free for publication),2,Two,A,Normal value,6,Millions,MAD,Moroccan dirham
DATAFLOW,OECD.SDD.NAD:DSD_NASU@DF_USEVA_T1600(1.0),"SUT Use, Value added and its components by activity",I,A,Annual,MAR,Morocco,B1G,"Value added, gross",C27,Manufacture of electrical equipment,_T,Total,XDC,National currency,B,Basic prices,V,Current prices,T1600,Table 1600 - Use Table at purchasers' prices,2016,NA,3965,NA,D,Domestic (home or reference area),S1,Total economy,B,Balance (revenue minus expenditure),FALSE,Free (free for publication),2,Two,A,Normal value,6,Millions,MAD,Moroccan dirham
DATAFLOW,OECD.SDD.NAD:DSD_NASU@DF_USEVA_T1600(1.0),"SUT Use, Value added and its components by activity",I,A,Annual,MAR,Morocco,B1G,"Value added, gross",C27,Manufacture of electrical equipment,_T,Total,XDC,National currency,B,Basic prices,V,Current prices,T1600,Table 1600 - Use Table at purchasers' prices,2015,NA,4187,NA,D,Domestic (home or reference area),S1,Total economy,B,Balance (revenue minus expenditure),FALSE,Free (free for publication),2,Two,A,Normal value,6,Millions,MAD,Moroccan dirham
DATAFLOW,OECD.SDD.NAD:DSD_NASU@DF_USEVA_T1600(1.0),"SUT Use, Value added and its components by activity",I,A,Annual,MAR,Morocco,B1G,"Value added, gross",C27,Manufacture of electrical equipment,_T,Total,XDC,National currency,B,Basic prices,V,Current prices,T1600,Table 1600 - Use Table at purchasers' prices,2014,NA,4068,NA,D,Domestic (home or reference area),S1,Total economy,B,Balance (revenue minus expenditure),FALSE,Free (free for publication),2,Two,A,Normal value,6,Millions,MAD,Moroccan dirham
DATAFLOW,OECD.SDD.NAD:DSD_NASU@DF_USEVA_T1600(1.0),"SUT Use, Value added and its components by activity",I,A,Annual,MAR,Morocco,P1,Output,C27,Manufacture of electrical equipment,_T,Total,XDC,National currency,B,Basic prices,V,Current prices,T1600,Table 1600 - Use Table at purchasers' prices,2021,NA,17623,NA,D,Domestic (home or reference area),S1,Total economy,C,Revenue,FALSE,Free (free for publication),2,Two,A,Normal value,6,Millions,MAD,Moroccan dirham
DATAFLOW,OECD.SDD.NAD:DSD_NASU@DF_USEVA_T1600(1.0),"SUT Use, Value added and its components by activity",I,A,Annual,MAR,Morocco,P1,Output,C27,Manufacture of electrical equipment,_T,Total,XDC,National currency,B,Basic prices,V,Current prices,T1600,Table 1600 - Use Table at purchasers' prices,2020,NA,14173,NA,D,Domestic (home or reference area),S1,Total economy,C,Revenue,FALSE,Free (free for publication),2,Two,A,Normal value,6,Millions,MAD,Moroccan dirham
DATAFLOW,OECD.SDD.NAD:DSD_NASU@DF_USEVA_T1600(1.0),"SUT Use, Value added and its components by activity",I,A,Annual,MAR,Morocco,P1,Output,C27,Manufacture of electrical equipment,_T,Total,XDC,National currency,B,Basic prices,V,Current prices,T1600,Table 1600 - Use Table at purchasers' prices,2019,NA,16216,NA,D,Domestic (home or reference area),S1,Total economy,C,Revenue,FALSE,Free (free for publication),2,Two,A,Normal value,6,Millions,MAD,Moroccan dirham
DATAFLOW,OECD.SDD.NAD:DSD_NASU@DF_USEVA_T1600(1.0),"SUT Use, Value added and its components by activity",I,A,Annual,MAR,Morocco,P1,Output,C27,Manufacture of electrical equipment,_T,Total,XDC,National currency,B,Basic prices,V,Current prices,T1600,Table 1600 - Use Table at purchasers' prices,2018,NA,15243,NA,D,Domestic (home or reference area),S1,Total economy,C,Revenue,FALSE,Free (free for publication),2,Two,A,Normal value,6,Millions,MAD,Moroccan dirham
DATAFLOW,OECD.SDD.NAD:DSD_NASU@DF_USEVA_T1600(1.0),"SUT Use, Value added and its components by activity",I,A,Annual,MAR,Morocco,P1,Output,C27,Manufacture of electrical equipment,_T,Total,XDC,National currency,B,Basic prices,V,Current prices,T1600,Table 1600 - Use Table at purchasers' prices,2017,NA,14232,NA,D,Domestic (home or reference area),S1,Total economy,C,Revenue,FALSE,Free (free for publication),2,Two,A,Normal value,6,Millions,MAD,Moroccan dirham
DATAFLOW,OECD.SDD.NAD:DSD_NASU@DF_USEVA_T1600(1.0),"SUT Use, Value added and its components by activity",I,A,Annual,MAR,Morocco,P1,Output,C27,Manufacture of electrical equipment,_T,Total,XDC,National currency,B,Basic prices,V,Current prices,T1600,Table 1600 - Use Table at purchasers' prices,2016,NA,13110,NA,D,Domestic (home or reference area),S1,Total economy,C,Revenue,FALSE,Free (free for publication),2,Two,A,Normal value,6,Millions,MAD,Moroccan dirham
