rama,alpha_capital,participacion_laboral,va_sobre_produccion,elasticidad_trabajo,residual_capital_mas_trabajo,share_sobre_elasticidad
Fosfatos,0.8,0.16,0.6,0.19999999999999996,0.039999999999999925,0.8000000000000002
Automotor,0.55,0.43,0.27,0.44999999999999996,0.020000000000000018,0.9555555555555556
