socio,icc
DEU,56.626459986085564
USA,56.16860269677544
ESP,54.404112286262674
FRA,54.257245995344725
ARE,50
IND,49.89905398976743
CHN,48.031008278732536
GBR,44.96515252495213
BRA,29.814220855447925
