cuci,cuci_desc,value,flow,value_fmt
334,Heavy petrol/bitum oils,7742945.85,Importado,7.74 mil millones USD
784,Motor veh parts/access,6414637.848,Importado,6.41 mil millones USD
773,Electrical distrib equip,3821737.086,Importado,3.82 mil millones USD
792,Aircraft/spacecraft/etc,2995578.934,Importado,3.00 mil millones USD
772,Electric circuit equipmt,2939574.851,Importado,2.94 mil millones USD
