year,cuci,cuci_desc,share_mar,share_wld,vcr,vcrn
2024,272,Fertilizers crude,0.011917168047248796,2.3186519635563888e-4,51.396967869943,0.9618298523501533
2024,562,Manufactured fertilizers,0.1568238357032774,0.0030556676593587674,51.32228147356408,0.9617753671347359
2024,773,Electrical distrib equip,0.13444271655857015,0.008058820055380387,16.682680049272335,0.8868949732491312
2024,522,Elements/oxides/hal salt,0.03575644931391618,0.003015484825842858,11.857612085287776,0.8444501213185235
2024,842,Women/girl clothing wven,0.05315112396558529,0.0044981858723308465,11.816124427522537,0.8439465837499974
2024,036,Crustaceans molluscs etc,0.015120019446844659,0.0014422589272442825,10.483567937231916,0.8258381009341514
2024,037,"Fish/shellfish,prep/pres",0.018258034723873353,0.0018412801630400407,9.915946030574984,0.8167817984443945
2024,054,"Vegetables,frsh/chld/frz",0.02673782329815863,0.004298227883942059,6.220662100781034,0.7230170901109377
2024,244,Cork natural/raw/waste,9.496497501243042e-5,1.5497318193438355e-5,6.127832817721913,0.7194098050353531
2024,291,Crude animal mterial nes,0.0027121588849952226,5.124064201907457e-4,5.2929838076299065,0.6821857387309488
2024,411,Animal oil/fat,0.0019319772647713803,4.039053034839206e-4,4.783243121857874,0.6541732799644955
2024,792,Aircraft/spacecraft/etc,0.04016593543256191,0.008444575594997701,4.7564184819844515,0.6525617436850203
