cuci_2d,desc_2d,total,total_fmt
78,Road vehicles,16395172.629999999,16.40 mil millones USD
77,Electrical equipment,15803618.408,15.80 mil millones USD
56,Manufactured fertilizers,12635121.335,12.64 mil millones USD
84,Apparel/clothing/access,7786710.923,7.79 mil millones USD
05,Vegetables and fruit,4639179.467,4.64 mil millones USD
